track,id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,coverlink
More Than a Friend,5TIyFlLF0EfYOUZH1TYxBq,0.689,0.594,0,-7.645,0.0584,0.0301,0,0.102,0.653,137.112,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
F U Anthem (Fuck You Anthem),5VahNEYKPpQ65vXYipahyJ,0.534,0.761,0,-4.343,0.0386,0.00664,0,0.525,0.554,160.184,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Seize the Power,4wD6EgZCok8Qb5Fs8jszYc,0.633,0.788,5,-4.075,0.127,0.0111,1.6e-06,0.0582,0.412,134.13,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Courtesy Call,0AOmbw8AwDnwXhHC3OhdVB,0.531,0.638,11,-5.145,0.0809,0.00409,0,0.0822,0.445,164.079,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Fairytale,6NgYIETQ8U72CVfkzYhK30,0.586,0.714,2,-6.414,0.0271,0.434,1.87e-05,0.32,0.593,107.964,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Walls Could Talk,5ln5yQdUywVbf8HhFsOcd6,0.626,0.423,1,-6.035,0.0513,0.128,0,0.18,0.571,95.162,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
HOT DEMON B!TCHES NEAR U ! ! !,7v4pPS4A7NgY7bxFA3Etv3,0.788,0.764,7,-4.054,0.254,0.00918,0,0.224,0.841,100.095,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
i wanna be your girlfriend,5PjdC2gMATetx5xdnwGUu7,0.541,0.382,7,-14.323,0.035,0.0215,0.000836,0.304,0.343,155.901,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
hometown,6p8DGrcAUBuLUgDIKcUn0P,0.315,0.826,7,-4.314,0.0636,0.00064,0.000687,0.0703,0.359,139.161,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Light My Way,3T2eTELFbQsVlibSK3Xk01,0.512,0.471,2,-8.11,0.0286,0.417,0,0.175,0.323,132.883,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Miss YOU!,3pXVmZh293nWtqxildz9jf,0.792,0.829,2,-6.612,0.256,0.00103,0.0755,0.582,0.17,93.044,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
All For You,29Co9NKhOM5R9vWCrpkPPK,0.551,0.268,2,-9.954,0.0427,0.805,0,0.0977,0.335,77.079,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,0.0564,0.0654,0,0.123,0.629,84.786,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Torna a casa,3590AAEoqH50z4UmhMIY85,0.425,0.638,1,-3.184,0.0759,0.426,0,0.177,0.45,81.396,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Birthday Cake,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,0.0364,0.955,3.28e-05,0.106,0.15,113.265,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
July,036Pj6Wb0GqLKjLsN55pJg,0.711,0.338,2,-6.426,0.0327,0.8,0,0.112,0.377,128.994,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Alone Together,75SixhsPWyRRmtqHeffiXr,0.552,0.915,4,-3.713,0.0559,0.0013,3.74e-05,0.206,0.606,90.013,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
I duckinf hatw you,6LHhaWs0HzuPhflDWiVtp1,0.671,0.962,4,-5.509,0.481,0.0729,0.00663,0.376,0.183,114.003,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Head Up,0Di4xlEas5KZ4pF52Vb2tG,0.596,0.638,9,-5.849,0.0557,0.00494,1.4e-05,0.138,0.269,144.871,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
We Did It!!!,6nebUmkUoc7fITIKPjS47K,0.284,0.789,1,-7.927,0.473,0.000328,0.00109,0.562,0.597,169.2,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Just One Yesterday,5OMCffelD9cnJCgG3xnHzU,0.508,0.907,6,-3.443,0.0565,0.0423,6.83e-05,0.221,0.587,104.997,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
pretty enough,29Uppa1cgYbC8Eh0vkMA5J,0.652,0.427,10,-6.94,0.0786,0.822,0,0.132,0.794,71.351,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Through the Valley,6YowAxI2HIbhAwumOqpldE,0.471,0.485,3,-4.965,0.0372,0.25,2.23e-06,0.0771,0.356,113.542,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
WWIII,1Os2VQpm9aPGEY7yJXlMIP,0.709,0.642,9,-7.464,0.0387,0.0444,2.13e-06,0.143,0.276,120.022,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
This Is The Life,57Fjy2Z51thITxGsmDIjFh,0.734,0.272,1,-11.727,0.0438,0.582,0,0.121,0.525,81.948,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Welcome to Wonderland,3JfHYZKy5JmE5Fv4gDTCiz,0.703,0.179,4,-10.906,0.0366,0.949,0,0.102,0.346,97.427,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
abcdefu (angrier),1EQFOouqdKYdpbNoOHRVO2,0.671,0.599,4,-6.18,0.0405,0.0658,0,0.101,0.448,121.849,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Pray,2gbRKKSyW7e7vAkyvrJkte,0.588,0.39,8,-7.753,0.0578,0.726,1.26e-05,0.0965,0.206,96.571,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
The Greatest Show,4ylWMuGbMXNDgDd8lErEle,0.417,0.824,11,-7.36,0.105,0.000239,0.0545,0.0725,0.4,157.92,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Middle Finger,0IK8y0vAO0sM630HsxwLht,0.685,0.656,1,-6.013,0.0383,0.437,0,0.347,0.392,128.003,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
This is Our Life,5PUTXDqo5aGHoGbAhYm5ZT,0.364,0.877,7,-3.922,0.107,0.0011,1.16e-05,0.348,0.382,157.675,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
"This Ain't A Scene, It's An Arms Race",1oagRT7LfpVlNJN6FSZDGp,0.435,0.887,9,-4.07,0.0636,0.000747,0,0.0327,0.408,199.935,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,0.625,0.939,4,-3.115,0.0669,0.00138,0,0.424,0.644,102.999,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Heaven In Hiding,2zRiYzBzeabQQ16BK3c6jk,0.55,0.874,1,-3.954,0.136,0.0957,0,0.0618,0.476,117.926,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
This Town,6cHnFNsmVWqMwdbGotlUEm,0.73,0.388,10,-6.98,0.0362,0.67,0,0.114,0.48,114.869,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Nothing Personal,0wfgdpYNPfUZj4D35SybLR,0.383,0.827,11,-4.655,0.0627,0.019,0,0.131,0.238,169.832,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
EAT SPIT! (feat. Royal & the Serpent),1aFP0G0GHQAAH9gfC95wT1,0.763,0.805,1,-2.694,0.395,0.0228,0.000154,0.0776,0.402,167.978,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Anybody,5hmagJmSC6n4UwT0crJIeC,0.744,0.579,4,-5.67,0.0813,0.281,0,0.214,0.688,106.173,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
I Think I'm In Love,3U1TuSqHIubBA10cVP7Sk6,0.632,0.638,7,-6.731,0.0505,0.137,0,0.125,0.574,121.868,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
